Age_Group,N,Event_Rate,Median_Time
01-04 years,1,0.0,138.0
20-24 years,140,0.2857142857142857,125.5
25-29 years,732,0.24180327868852458,118.5
30-34 years,2186,0.217291857273559,124.0
35-39 years,4893,0.2180666257919477,131.0
40-44 years,10033,0.16395893551280774,137.0
45-49 years,15355,0.16222728752849236,140.0
50-54 years,17451,0.18640765572173515,135.0
55-59 years,17764,0.2295654131952263,131.0
60-64 years,18194,0.25557876222930637,126.0
65-69 years,16108,0.3152470821951825,120.0
70-74 years,12357,0.4267216962045804,112.0
75-79 years,9759,0.6076442258428117,103.0
80-84 years,7203,0.773705400527558,86.0
85-89 years,4220,0.8933649289099526,59.0
90+ years,1915,0.9634464751958225,34.0
Under 20,16,0.125,170.5
